-2,833670
-3,118101
-3,397032
-3,669972
-3,936439
-4,195963
-4,448087
-4,692365
-4,928367
-5,155677
-5,373893
-5,582632
-5,781524
-5,970218
-6,148383
-6,315704
-6,471886
-6,616653
-6,749749
-6,870941
-6,980015
-7,076777
-7,161058
-7,232709
-7,291603
-7,337636
-7,370728
-7,390820
-7,397876
-7,391885
-7,372855
-7,340823
-7,295842
-7,237994
-7,167380
-7,084125
-6,988375
-6,880299
-6,760088
-6,627955
-6,484131
-6,328871
-6,162448
-5,985156
-5,797309
-5,599236
-5,391287
-5,173830
-4,947248
-4,711939
-4,468321
-4,216821
-3,957884
-3,691966
-3,419536
-3,141076
-2,857075
-2,568035
-2,274466
-1,976885
-1,675818
-1,371794
-1,065352
-0,757030
-0,447373
-0,136927
0,173760
0,484141
0,793668
1,101796
1,407980
1,711680
2,012362
2,309495
2,602554
2,891022
3,174392
3,452163
3,723846
3,988960
4,247039
4,497627
4,740283
4,974578
5,200099
5,416448
5,623245
5,820123
6,006736
6,182755
6,347869
6,501787
6,644238
6,774969
6,893752
7,000376
7,094653
7,176417
7,245523
7,301850
7,345299
7,375792
7,393277
7,397722
7,389119
7,367483
7,332853
7,285290
7,224878
7,151723
7,065954
6,967722
6,857201
6,734586
6,600093
6,453959
6,296442
6,127820
5,948389
5,758468
5,558389
5,348508
5,129193
4,900831
4,663826
4,418594
4,165570
3,905198
3,637939
3,364264
3,084654
2,799605
2,509617
2,215203
1,916882
1,615180
1,310630
1,003768
0,695135
0,385277
0,074739
-0,235931
-0,546185
-0,855476
-1,163257
-1,468987
-1,772126
-2,072140
-2,368498
-2,660679
-2,948168
-3,230457
-3,507048
-3,777453
-4,041196
-4,297812
-4,546847
-4,787862
-5,020434
-5,244150
-5,458617
-5,663456
-5,858307
-6,042825
-6,216685
-6,379580
-6,531224
-6,671348
-6,799705
-6,916070
-7,020236
-7,112021
-7,191262
-7,257819
-7,311575
-7,352435
-7,380328
-7,395204
-7,397036
-7,385822
-7,361581
-7,324357
-7,274214
-7,211241
-7,135549
-7,047272
-6,946566
-6,833607
-6,708596
-6,571753
-6,423318
-6,263555
-6,092744
-5,911187
-5,719204
-5,517134
-5,305333
-5,084175
-4,854050
-4,615363
-4,368536
-4,114004
-3,852216
-3,583633
-3,308730
-3,027991
-2,741911
-2,450995
-2,155756
-1,856715
-1,554399
-1,249341
-0,942080
-0,633157
-0,323117
-0,012507
0,298125
0,608231
0,917265
1,224681
1,529937
1,832495
2,131821
2,427387
2,718672
3,005162
3,286352
3,561746
3,830858
4,093214
4,348351
4,595818
4,835180
5,066014
5,287913
5,500486
5,703358
5,896171
6,078585
6,250278
6,410948
6,560310
6,698103
6,824082
6,938025
7,039733
7,129024
7,205742
7,269751
7,320939
7,359215
7,384512
7,396785
7,396013
7,382196
7,355360
7,315552
7,262842
7,197322
7,119109
7,028341
6,925177
6,809800
6,682413
6,543241
6,392529
6,230543
6,057570
5,873913
5,679898
5,475866
5,262177
5,039208
4,807353
4,567020
4,318634
4,062632
3,799466
3,529601
3,253512
2,971687
2,684622
2,392824
2,096808
1,797095
1,494216
1,188703
0,881096
0,571937
0,261772
-0,048851
-0,359386
-0,669284
-0,977998
-1,284984
-1,589701
-1,891610
-2,190179
-2,484881
-2,775197
-3,060614
-3,340629
-3,614747
-3,882485
-4,143370
-4,396942
-4,642754
-4,880372
-5,109376
-5,329363
-5,539944
-5,740747
-5,931418
-6,111620
-6,281036
-6,439366
-6,586330
-6,721669
-6,845145
-6,956538
-7,055652
-7,142311
-7,216363
-7,277676
-7,326142
-7,361675
-7,384212
-7,393711
-7,390157
-7,373554
-7,343932
-7,301342
-7,245858
-7,177578
-7,096621
-7,003130
-6,897268
-6,779222
-6,649198
-6,507426
-6,354154
-6,189652
-6,014209
-5,828133
-5,631752
-5,425410
-5,209471
-4,984313
-4,750334
-4,507944
-4,257569
-3,999650
-3,734640
-3,463005
-3,185221
-2,901779
-2,613174
-2,319916
-2,022518
-1,721504
-1,417403
-1,110747
-0,802077
-0,491934
-0,180862
0,130592
0,441882
0,752461
1,061785
1,369312
1,674501
1,976819
2,275735
2,570727
2,861276
3,146876
3,427026
3,701236
3,969028
4,229934
4,483499
4,729280
4,966849
5,195793
5,415713
5,626229
5,826975
6,017603
6,197784
6,367208
6,525583
6,672637
6,808120
6,931800
7,043469
7,142939
7,230043
7,304639
7,366605
7,415842
7,452276
7,475853
7,486545
7,484345
7,469271
7,441364
7,400686
7,347326
7,281393
7,203020
7,112363
7,009598
6,894928
6,768572
6,630775
6,481801
6,321935
6,151481
5,970766
5,780132
5,579942
5,370577
5,152434
4,925928
4,691490
4,449566
4,200615
3,945113
3,683547
3,416416
3,144232
2,867516
2,586800
2,302625
2,015538
1,726096
1,434861
1,142399
0,849283
0,556088
0,263392
-0,028226
-0,318184
-0,605902
-0,890802
-1,172305
-1,449836
-1,722824
-1,990704
-2,252912
-2,508895
-2,758105
-3,000000
