0	0
0.01	0.001
0.02	0.002
0.03	0.00299995
0.04	0.00399984
0.05	0.00499963
0.06	0.00599932
0.07	0.00699887
0.08	0.00799827
0.09	0.0089975
0.1	0.00999653
0.11	0.0109953
0.12	0.0119939
0.13	0.0129922
0.14	0.0139902
0.15	0.0149879
0.16	0.0159853
0.17	0.0169823
0.18	0.017979
0.19	0.0189753
0.2	0.0199711
0.21	0.0209665
0.22	0.0219615
0.23	0.0229559
0.24	0.0239499
0.25	0.0249433
0.26	0.0259362
0.27	0.0269285
0.28	0.0279202
0.29	0.0289114
0.3	0.0299018
0.31	0.0308917
0.32	0.0318808
0.33	0.0328693
0.34	0.033857
0.35	0.034844
0.36	0.0358302
0.37	0.0368156
0.38	0.0378002
0.39	0.038784
0.4	0.039767
0.41	0.0407491
0.42	0.0417302
0.43	0.0427105
0.44	0.0436899
0.45	0.0446682
0.46	0.0456456
0.47	0.046622
0.48	0.0475974
0.49	0.0485718
0.5	0.049545
0.51	0.0505172
0.52	0.0514883
0.53	0.0524583
0.54	0.0534271
0.55	0.0543947
0.56	0.0553612
0.57	0.0563265
0.58	0.0572905
0.59	0.0582533
0.6	0.0592148
0.61	0.060175
0.62	0.0611339
0.63	0.0620914
0.64	0.0630476
0.65	0.0640024
0.66	0.0649559
0.67	0.0659079
0.68	0.0668585
0.69	0.0678076
0.7	0.0687553
0.71	0.0697014
0.72	0.0706461
0.73	0.0715892
0.74	0.0725307
0.75	0.0734707
0.76	0.074409
0.77	0.0753458
0.78	0.0762809
0.79	0.0772144
0.8	0.0781461
0.81	0.0790762
0.82	0.0800046
0.83	0.0809312
0.84	0.0818561
0.85	0.0827792
0.86	0.0837005
0.87	0.08462
0.88	0.0855377
0.89	0.0864535
0.9	0.0873674
0.91	0.0882795
0.92	0.0891896
0.93	0.0900978
0.94	0.091004
0.95	0.0919083
0.96	0.0928106
0.97	0.0937109
0.98	0.0946092
0.99	0.0955055
1	0.0963996
1.01	0.0972917
1.02	0.0981817
1.03	0.0990696
1.04	0.0999553
1.05	0.100839
1.06	0.10172
1.07	0.1026
1.08	0.103477
1.09	0.104351
1.1	0.105224
1.11	0.106094
1.12	0.106962
1.13	0.107828
1.14	0.108691
1.15	0.109552
1.16	0.110411
1.17	0.111268
1.18	0.112122
1.19	0.112973
1.2	0.113822
1.21	0.114669
1.22	0.115513
1.23	0.116355
1.24	0.117194
1.25	0.118031
1.26	0.118865
1.27	0.119697
1.28	0.120526
1.29	0.121353
1.3	0.122177
1.31	0.122998
1.32	0.123817
1.33	0.124633
1.34	0.125447
1.35	0.126258
1.36	0.127066
1.37	0.127871
1.38	0.128674
1.39	0.129474
1.4	0.130271
1.41	0.131065
1.42	0.131857
1.43	0.132646
1.44	0.133432
1.45	0.134215
1.46	0.134996
1.47	0.135773
1.48	0.136548
1.49	0.13732
1.5	0.138089
1.51	0.138855
1.52	0.139618
1.53	0.140378
1.54	0.141135
1.55	0.141889
1.56	0.14264
1.57	0.143388
1.58	0.144133
1.59	0.144875
1.6	0.145614
1.61	0.14635
1.62	0.147083
1.63	0.147813
1.64	0.14854
1.65	0.149263
1.66	0.149984
1.67	0.150701
1.68	0.151415
1.69	0.152126
1.7	0.152834
1.71	0.153538
1.72	0.15424
1.73	0.154938
1.74	0.155633
1.75	0.156324
1.76	0.157013
1.77	0.157698
1.78	0.158379
1.79	0.159058
1.8	0.159733
1.81	0.160405
1.82	0.161073
1.83	0.161738
1.84	0.1624
1.85	0.163059
1.86	0.163714
1.87	0.164365
1.88	0.165013
1.89	0.165658
1.9	0.166299
1.91	0.166937
1.92	0.167571
1.93	0.168202
1.94	0.16883
1.95	0.169454
1.96	0.170074
1.97	0.170691
1.98	0.171304
1.99	0.171914
2	0.17252
2.01	0.173123
2.02	0.173722
2.03	0.174317
2.04	0.174909
2.05	0.175498
2.06	0.176082
2.07	0.176663
2.08	0.177241
2.09	0.177814
2.1	0.178385
2.11	0.178951
2.12	0.179514
2.13	0.180073
2.14	0.180628
2.15	0.18118
2.16	0.181728
2.17	0.182272
2.18	0.182812
2.19	0.183349
2.2	0.183882
2.21	0.184411
2.22	0.184936
2.23	0.185458
2.24	0.185976
2.25	0.18649
2.26	0.187
2.27	0.187506
2.28	0.188009
2.29	0.188508
2.3	0.189003
2.31	0.189494
2.32	0.189981
2.33	0.190464
2.34	0.190943
2.35	0.191419
2.36	0.19189
2.37	0.192358
2.38	0.192822
2.39	0.193282
2.4	0.193737
2.41	0.194189
2.42	0.194637
2.43	0.195082
2.44	0.195522
2.45	0.195958
2.46	0.19639
2.47	0.196818
2.48	0.197242
2.49	0.197662
2.5	0.198079
2.51	0.198491
2.52	0.198899
2.53	0.199303
2.54	0.199703
2.55	0.200099
2.56	0.200491
2.57	0.200879
2.58	0.201263
2.59	0.201643
2.6	0.202019
2.61	0.20239
2.62	0.202758
2.63	0.203122
2.64	0.203481
2.65	0.203836
2.66	0.204187
2.67	0.204535
2.68	0.204878
2.69	0.205216
2.7	0.205551
2.71	0.205882
2.72	0.206208
2.73	0.20653
2.74	0.206849
2.75	0.207163
2.76	0.207472
2.77	0.207778
2.78	0.208079
2.79	0.208377
2.8	0.20867
2.81	0.208959
2.82	0.209244
2.83	0.209524
2.84	0.209801
2.85	0.210073
2.86	0.210341
2.87	0.210604
2.88	0.210864
2.89	0.211119
2.9	0.21137
2.91	0.211617
2.92	0.21186
2.93	0.212098
2.94	0.212332
2.95	0.212562
2.96	0.212787
2.97	0.213009
2.98	0.213226
2.99	0.213439
3	0.213647
3.01	0.213852
